Tree,Node,ID,Feature,Split,Yes,No,Missing,Gain,Cover,Category
61,1,61-1,Leaf,,,,,-0.00564925373,19.4446373,
61,2,61-2,avg_dt_intensity,639696699000.0,61-3,61-4,61-4,15.5445843,10.4592972,
61,3,61-3,Leaf,,,,,-0.00482804654,4.29766798,
61,4,61-4,avg_bytes,31201206.0,61-5,61-6,61-6,0.324390411,6.1616292,
61,5,61-5,Leaf,,,,,0.0199373886,4.95358467,
61,6,61-6,Leaf,,,,,0.00568521116,1.20804489,
62,0,62-0,std_iat,0.00076957891,62-1,62-2,62-2,36.9457283,28.5698929,
62,1,62-1,Leaf,,,,,-0.00568839768,22.6386967,
62,2,62-2,Leaf,,,,,0.020566931,5.93119717,
63,0,63-0,protocol,1.0,63-1,63-2,63-2,7.03121614,27.9095249,
63,1,63-1,Leaf,,,,,-0.0055074105,12.7741804,
63,2,63-2,packet_rate,6187.54248,63-3,63-4,63-4,25.7595615,15.1353445,
63,3,63-3,Leaf,,,,,-0.00539117167,9.84738064,
63,4,63-4,Leaf,,,,,0.0201304071,5.28796387,
64,0,64-0,std_iat,3.54718891e-15,64-1,64-2,64-2,9.20629692,29.3471737,
64,1,64-1,bytes,3073900.0,64-3,64-4,64-4,11.3930664,13.6098843,
64,2,64-2,Leaf,,,,,-0.00558670983,15.7372904,
64,3,64-3,Leaf,,,,,-0.00506476173,5.66844893,
64,4,64-4,max_iat,0.000239999994,64-5,64-6,64-6,12.8149767,7.94143534,
64,5,64-5,Leaf,,,,,-0.00435187761,2.70449662,
64,6,64-6,Leaf,,,,,0.0203650258,5.23693848,
65,0,65-0,mean_iat,0.00240000011,65-1,65-2,65-2,39.3376656,30.7550564,
65,1,65-1,Leaf,,,,,-0.00570512097,24.4775181,
65,2,65-2,Leaf,,,,,0.0206566136,6.27753782,
66,0,66-0,packet_rate,57180.75,66-1,66-2,66-2,35.7127876,27.7725182,
66,1,66-1,Leaf,,,,,-0.00567165203,21.7286739,
66,2,66-2,Leaf,,,,,0.0200998131,6.0438447,
67,0,67-0,std_pkt_size,668.90686,67-1,67-2,67-2,11.3970213,30.080122,
67,1,67-1,Leaf,,,,,-0.00555260107,14.5814466,
67,2,67-2,avg_bytes,286486144.0,67-3,67-4,67-4,9.17283916,15.4986753,
67,3,67-3,min_iat,2.40000008e-05,67-5,67-6,67-6,15.3705883,10.9714575,
67,4,67-4,Leaf,,,,,-0.00486501819,4.52721786,
67,5,67-5,Leaf,,,,,0.0187330171,7.23522425,
67,6,67-6,Leaf,,,,,-0.00468771812,3.73623323,
68,0,68-0,dt_intensity,638723490000.0,68-1,68-2,68-2,17.582922,28.8250351,
68,1,68-1,total_packets,3098.0,68-3,68-4,68-4,18.4372444,10.5248737,
68,2,68-2,Leaf,,,,,-0.00562647218,18.3001614,
68,3,68-3,Leaf,,,,,-0.00485437643,4.50351286,
68,4,68-4,Leaf,,,,,0.0201920457,6.0213604,
69,0,69-0,bytes,285278272.0,69-1,69-2,69-2,34.6415024,29.2832489,
69,1,69-1,Leaf,,,,,-0.00569113297,23.5803566,
69,2,69-2,Leaf,,,,,0.0199555717,5.7028923,
70,0,70-0,min_iat,0.000239999994,70-1,70-2,70-2,9.42071819,28.8382263,
70,1,70-1,Leaf,,,,,-0.00556015316,14.648489,
70,2,70-2,packet_rate,4166.8667,70-3,70-4,70-4,25.2080116,14.1897383,
70,3,70-3,Leaf,,,,,-0.00531968148,8.5404644,
70,4,70-4,Leaf,,,,,0.020186441,5.64927387,
71,0,71-0,duration,5.00159979,71-1,71-2,71-2,21.8926582,27.8827877,
71,1,71-1,avg_bytes,3071963.5,71-3,71-4,71-4,7.64877748,23.8546562,
71,2,71-2,Leaf,,,,,0.0187736806,4.02813148,
71,3,71-3,Leaf,,,,,0.0134907402,1.33642936,
71,4,71-4,Leaf,,,,,-0.00568009168,22.5182266,
72,0,72-0,bytes,281149920.0,72-1,72-2,72-2,14.8193398,28.5432777,
72,1,72-1,Leaf,,,,,-0.00559587637,16.8903446,
72,2,72-2,protocol,1.0,72-3,72-4,72-4,20.2493668,11.6529331,
72,3,72-3,Leaf,,,,,0.0197683349,6.12560272,
72,4,72-4,Leaf,,,,,-0.0050160503,5.52733088,
73,0,73-0,mean_iat,0.000161620279,73-1,73-2,73-2,8.97505856,28.7997036,
73,1,73-1,bytes,281149920.0,73-3,73-4,73-4,24.6217003,14.4980383,
73,2,73-2,Leaf,,,,,-0.00554436352,14.3016653,
73,3,73-3,Leaf,,,,,0.0196426045,5.77661705,
73,4,73-4,Leaf,,,,,-0.00531927682,8.72142124,
74,0,74-0,duration,4.99940491,74-1,74-2,74-2,26.1593494,26.9708538,
74,1,74-1,protocol,1.0,74-3,74-4,74-4,5.15346718,7.71291447,
74,2,74-2,Leaf,,,,,-0.005634089,19.2579384,
74,3,74-3,avg_min_pkt_size,51.8158569,74-5,74-6,74-6,0.304887772,6.65264082,
74,4,74-4,Leaf,,,,,-0.00305332616,1.060274,
74,5,74-5,Leaf,,,,,0.0194753744,5.43410015,
74,6,74-6,Leaf,,,,,0.00561162597,1.21854055,
75,0,75-0,total_packets,208317.0,75-1,75-2,75-2,20.2878628,31.0832081,
75,1,75-1,Leaf,,,,,-0.00564161595,19.7869606,
75,2,75-2,bytes,284990656.0,75-3,75-4,75-4,18.9387817,11.2962484,
75,3,75-3,Leaf,,,,,-0.00484783575,4.48865509,
75,4,75-4,Leaf,,,,,0.0200447645,6.80759335,
76,0,76-0,duration,5.00010204,76-1,76-2,76-2,11.8527822,28.2893677,
76,1,76-1,iat_variance_ratio,5.24272915e-25,76-3,76-4,76-4,1.24215484,19.8271465,
76,2,76-2,duration,5.00159979,76-5,76-6,76-6,10.9876928,8.46222305,
76,3,76-3,duration,4.99996424,76-7,76-8,76-8,1.64628172,4.7673316,
76,4,76-4,Leaf,,,,,-0.00555954687,15.0598145,
76,5,76-5,Leaf,,,,,0.0170878563,5.2501421,
76,6,76-6,Leaf,,,,,-0.00453474512,3.21208048,
76,7,76-7,Leaf,,,,,0.00557000563,2.08413291,
76,8,76-8,Leaf,,,,,-0.00433446979,2.68319869,
77,0,77-0,avg_dt_intensity,9599008770.0,77-1,77-2,77-2,36.2536316,30.898241,
77,1,77-1,Leaf,,,,,0.0197981298,6.11821127,
77,2,77-2,Leaf,,,,,-0.00569581008,24.7800293,
78,0,78-0,packet_rate,57180.75,78-1,78-2,78-2,27.8512402,28.2152958,
78,1,78-1,Leaf,,,,,-0.00567773683,23.3739834,
78,2,78-2,Leaf,,,,,0.0186383761,4.84131289,
79,0,79-0,reverse_bytes,577464.0,79-1,79-2,79-2,16.571476,29.7033329,
79,1,79-1,Leaf,,,,,-0.00561010092,17.8969345,
79,2,79-2,max_iat,0.000882999972,79-3,79-4,79-4,15.1969738,11.8063974,
79,3,79-3,Leaf,,,,,0.0192797985,5.86392927,
79,4,79-4,std_pkt_size,668.937439,79-5,79-6,79-6,1.781847,5.94246864,
79,5,79-5,Leaf,,,,,-0.00490050996,4.75971794,
79,6,79-6,Leaf,,,,,0.00583801419,1.18275058,
80,0,80-0,iat_variance_ratio,0.000370216556,80-1,80-2,80-2,28.9714298,29.2298107,
80,1,80-1,Leaf,,,,,-0.00567020057,22.594101,
80,2,80-2,avg_min_pkt_size,45.2000008,80-3,80-4,80-4,1.20859146,6.63571119,
80,3,80-3,Leaf,,,,,0.00446717534,1.46601808,
80,4,80-4,Leaf,,,,,0.0189321842,5.16969299,
81,0,81-0,tcp_flag_count,3100.0,81-1,81-2,81-2,8.44531155,28.3952351,
81,1,81-1,duration,5.0000248,81-3,81-4,81-4,15.8247318,13.9306412,
81,2,81-2,Leaf,,,,,-0.00553963566,14.4645939,
81,3,81-3,duration,4.99938679,81-5,81-6,81-6,6.63515472,6.83740044,
81,4,81-4,Leaf,,,,,-0.00518945931,7.09324121,
81,5,81-5,Leaf,,,,,-0.00336107565,1.31314063,
81,6,81-6,Leaf,,,,,0.0190832131,5.52425957,
82,0,82-0,avg_bytes,30995078.0,82-1,82-2,82-2,9.11118793,29.7849007,
82,1,82-1,bytes,30417614.0,82-3,82-4,82-4,27.8962212,16.2867451,
82,2,82-2,Leaf,,,,,-0.00552208116,13.4981546,
82,3,82-3,Leaf,,,,,-0.0053836829,9.80445004,
82,4,82-4,Leaf,,,,,0.0198525228,6.48229599,
83,0,83-0,total_bytes,3099454.0,83-1,83-2,83-2,36.8122559,29.9040909,
83,1,83-1,Leaf,,,,,0.0195981208,6.54903698,
83,2,83-2,Leaf,,,,,-0.00567650376,23.3550529,
84,0,84-0,total_packets,285903.0,84-1,84-2,84-2,34.9727478,31.1308022,
84,1,84-1,Leaf,,,,,-0.00568581605,24.8389282,
84,2,84-2,Leaf,,,,,0.0191127919,6.29187489,
85,0,85-0,reverse_num_packets,10312.0,85-1,85-2,85-2,16.6061268,28.0319538,
85,1,85-1,Leaf,,,,,-0.00559480349,17.3007069,
85,2,85-2,reverse_num_packets,95290.0,85-3,85-4,85-4,17.2480278,10.7312479,
85,3,85-3,Leaf,,,,,0.0192465726,6.25712442,
85,4,85-4,Leaf,,,,,-0.00484150648,4.474123,
86,0,86-0,avg_bytes,30707622.0,86-1,86-2,86-2,16.541172,31.11306,
86,1,86-1,protocol,1.0,86-3,86-4,86-4,18.3486481,11.2320013,
86,2,86-2,Leaf,,,,,-0.00563215977,19.8810577,
86,3,86-3,Leaf,,,,,0.0192209147,6.26394701,
86,4,86-4,Leaf,,,,,-0.00492369849,4.96805477,
87,0,87-0,avg_bytes,289060192.0,87-1,87-2,87-2,31.2820988,29.9382038,
87,1,87-1,Leaf,,,,,-0.00568254758,24.3386078,
87,2,87-2,Leaf,,,,,0.0187619831,5.59959507,
88,0,88-0,directions,1.0,88-1,88-2,88-2,7.33616304,28.2047215,
88,1,88-1,Leaf,,,,,-0.00550546264,13.3619909,
88,2,88-2,Leaf,,,,,0.00436375383,14.8427305,
89,0,89-0,max_iat,0.000969999994,89-1,89-2,89-2,15.3721094,29.5383301,
89,1,89-1,Leaf,,,,,-0.00560249621,18.0225163,
89,2,89-2,tcp_flag_count,3100.0,89-3,89-4,89-4,18.7794113,11.5158138,
89,3,89-3,Leaf,,,,,0.0191186499,6.2903862,
89,4,89-4,Leaf,,,,,-0.00496381102,5.22542763,
90,0,90-0,reverse_num_packets,95290.0,90-1,90-2,90-2,33.1571808,27.9820385,
90,1,90-1,Leaf,,,,,-0.00564705022,21.5988274,
90,2,90-2,Leaf,,,,,0.0187626686,6.38321114,
91,0,91-0,std_iat,7.49693791e-05,91-1,91-2,91-2,16.1532822,29.9478722,
91,1,91-1,Leaf,,,,,-0.0055978233,17.9676037,
91,2,91-2,num_packets,2085.0,91-3,91-4,91-4,16.1002026,11.9802694,
91,3,91-3,Leaf,,,,,-0.00489407778,4.74404621,
91,4,91-4,tcp_flag_count,31253.0,91-5,91-6,91-6,0.333509445,7.23622322,
91,5,91-5,Leaf,,,,,0.0187761262,5.98764896,
91,6,91-6,Leaf,,,,,0.00541698327,1.24857402,
92,0,92-0,bytes,30417614.0,92-1,92-2,92-2,16.5565453,29.4286633,
92,1,92-1,packet_rate,619.673767,92-3,92-4,92-4,15.5817537,10.1569614,
92,2,92-2,Leaf,,,,,-0.00561804231,19.2717018,
92,3,92-3,Leaf,,,,,-0.00476346025,4.16205025,
92,4,92-4,Leaf,,,,,0.0187480804,5.99491119,
93,0,93-0,total_packets,208317.0,93-1,93-2,93-2,14.0408287,27.0246792,
93,1,93-1,Leaf,,,,,-0.00557916565,16.9200573,
93,2,93-2,total_packets,285903.0,93-3,93-4,93-4,15.5551529,10.1046219,
93,3,93-3,Leaf,,,,,0.0184726529,5.66861057,
93,4,93-4,Leaf,,,,,-0.0048246379,4.43601084,
94,0,94-0,iat_variance_ratio,5.24272915e-25,94-1,94-2,94-2,12.0186749,30.0881672,
94,1,94-1,packet_rate,619.673767,94-3,94-4,94-4,10.7289925,12.5815125,
94,2,94-2,Leaf,,,,,-0.00559441,17.5066547,
94,3,94-3,Leaf,,,,,-0.00486581121,4.52930307,
94,4,94-4,dt_intensity,958863704000.0,94-5,94-6,94-6,9.9522438,8.05220985,
94,5,94-5,Leaf,,,,,0.019057624,5.91824102,
94,6,94-6,Leaf,,,,,-0.00404581241,2.13396883,
95,0,95-0,avg_bytes,3099454.0,95-1,95-2,95-2,38.1225586,29.5345592,
95,1,95-1,Leaf,,,,,0.0191970915,7.42802668,
95,2,95-2,Leaf,,,,,-0.0056520612,22.1065331,
96,0,96-0,tcp_flag_count,285905.0,96-1,96-2,96-2,34.325676,28.8332005,
96,1,96-1,Leaf,,,,,-0.00564589538,22.0152721,
96,2,96-2,Leaf,,,,,0.0186080001,6.81792879,
97,0,97-0,reverse_num_packets,10312.0,97-1,97-2,97-2,15.8382797,30.3537884,
97,1,97-1,Leaf,,,,,-0.00561077055,18.966795,
97,2,97-2,byte_rate,57297380.0,97-3,97-4,97-4,17.622467,11.3869934,
97,3,97-3,Leaf,,,,,0.0186223928,6.41993618,
97,4,97-4,Leaf,,,,,-0.00492360303,4.9670577,
98,0,98-0,total_packets,20817.0,98-1,98-2,98-2,16.6506386,28.3070354,
98,1,98-1,protocol,1.0,98-3,98-4,98-4,17.3673668,11.4517202,
98,2,98-2,Leaf,,,,,-0.00557331508,16.8553162,
98,3,98-3,Leaf,,,,,0.0187031031,6.7913785,
98,4,98-4,Leaf,,,,,-0.00485915923,4.66034126,
99,0,99-0,byte_rate,61416960.0,99-1,99-2,99-2,28.4342327,29.2617378,
99,1,99-1,Leaf,,,,,-0.00566787925,23.8793545,
99,2,99-2,Leaf,,,,,0.017995216,5.38238382,
100,0,100-0,reverse_num_packets,1033.0,100-1,100-2,100-2,6.50983,28.5981731,
100,1,100-1,min_iat,0.000239999994,100-3,100-4,100-4,7.14631081,14.8374386,
100,2,100-2,Leaf,,,,,-0.00550546171,13.7607355,
100,3,100-3,Leaf,,,,,-0.00499196537,5.30253506,
100,4,100-4,Leaf,,,,,0.00859256834,9.53490353,
101,0,101-0,dt_intensity,9599008770.0,101-1,101-2,101-2,24.6547585,27.1814213,
101,1,101-1,Leaf,,,,,0.0176062249,4.65746784,
101,2,101-2,Leaf,,,,,-0.00565091521,22.5239544,
102,0,102-0,avg_dt_intensity,81906964100000.0,102-1,102-2,102-2,31.5060711,30.9315662,
102,1,102-1,Leaf,,,,,-0.00566748623,24.7511864,
102,2,102-2,Leaf,,,,,0.0180216338,6.18037939,
103,0,103-0,reverse_num_packets,10312.0,103-1,103-2,103-2,15.3713846,27.3718548,
103,1,103-1,Leaf,,,,,-0.00557332346,17.0608978,
103,2,103-2,tcp_flag_count,285905.0,103-3,103-4,103-4,14.969449,10.310956,
103,3,103-3,Leaf,,,,,0.0181620009,6.1436348,
103,4,103-4,Leaf,,,,,-0.00476629566,4.16732121,
104,0,104-0,dt_intensity,638723490000.0,104-1,104-2,104-2,16.670784,28.1995773,
104,1,104-1,min_pkt_size,1474.0,104-3,104-4,104-4,15.191597,10.6525698,
104,2,104-2,Leaf,,,,,-0.00557961455,17.5470066,
104,3,104-3,Leaf,,,,,0.0182062332,6.53196335,
104,4,104-4,Leaf,,,,,-0.00474374508,4.12060642,
105,0,105-0,bytes,285278272.0,105-1,105-2,105-2,32.4779587,29.2505207,
105,1,105-1,Leaf,,,,,-0.00564901205,22.7109337,
105,2,105-2,Leaf,,,,,0.018178327,6.53958797,
106,0,106-0,directions,1.0,106-1,106-2,106-2,11.9282274,29.2720585,
106,1,106-1,Leaf,,,,,-0.00551748369,14.4655895,
106,2,106-2,num_packets,20625.0,106-3,106-4,106-4,9.2603035,14.8064699,
106,3,106-3,Leaf,,,,,-0.00481347647,4.26718092,
106,4,106-4,mean_iat,0.000159994874,106-5,106-6,106-6,14.6752663,10.5392885,
106,5,106-5,Leaf,,,,,-0.00459032273,3.43226695,
106,6,106-6,Leaf,,,,,0.0189694837,7.10702133,
107,0,107-0,packet_rate,619.673767,107-1,107-2,107-2,33.3772469,27.7694073,
107,1,107-1,Leaf,,,,,0.0183717366,6.88430738,
107,2,107-2,Leaf,,,,,-0.00562709337,20.8850994,
108,0,108-0,num_packets,190613.0,108-1,108-2,108-2,12.2218189,27.0547848,
108,1,108-1,Leaf,,,,,-0.00556231244,16.9397049,
108,2,108-2,num_packets,208317.0,108-3,108-4,108-4,14.3914909,10.1150808,
108,3,108-3,Leaf,,,,,0.0174430311,5.51284695,
108,4,108-4,Leaf,,,,,-0.00483511575,4.60223436,
109,0,109-0,avg_min_pkt_size,1474.0,109-1,109-2,109-2,8.34480858,30.5704193,
109,1,109-1,total_packets,208317.0,109-3,109-4,109-4,7.3795476,16.206234,
109,2,109-2,Leaf,,,,,-0.00550654344,14.3641863,
109,3,109-3,mean_iat,0.000161620279,109-5,109-6,109-6,16.1520462,11.2778997,
109,4,109-4,Leaf,,,,,-0.00490856171,4.92833376,
109,5,109-5,Leaf,,,,,0.0179295447,6.60745764,
109,6,109-6,Leaf,,,,,-0.00486350572,4.6704421,
110,0,110-0,bytes,30417614.0,110-1,110-2,110-2,13.8754787,29.6081524,
110,1,110-1,min_iat,0.00240000011,110-3,110-4,110-4,16.5900173,11.3552418,
110,2,110-2,Leaf,,,,,-0.00558678713,18.2529106,
110,3,110-3,Leaf,,,,,0.017834641,6.22918892,
110,4,110-4,Leaf,,,,,-0.00492754206,5.12605286,
111,0,111-0,total_bytes,307059264.0,111-1,111-2,111-2,35.284008,31.0214367,
111,1,111-1,Leaf,,,,,-0.00565474899,23.6657982,
111,2,111-2,Leaf,,,,,0.0181222912,7.35563946,
112,0,112-0,std_iat,3.54718891e-15,112-1,112-2,112-2,11.3699999,30.5298023,
112,1,112-1,std_iat,3.18588129e-15,112-3,112-4,112-4,4.67412758,13.0066195,
112,2,112-2,Leaf,,,,,-0.00557758752,17.5231819,
112,3,112-3,avg_bytes,3099454.0,112-5,112-6,112-6,5.13367844,10.1267004,
112,4,112-4,Leaf,,,,,0.0157649163,2.87991977,
112,5,112-5,Leaf,,,,,-0.0048591909,4.51435757,
112,6,112-6,Leaf,,,,,0.00828087702,5.61234236,
113,0,113-0,max_iat,0.00240000011,113-1,113-2,113-2,13.1044941,29.1872959,
113,1,113-1,Leaf,,,,,-0.00555708585,16.6781139,
113,2,113-2,protocol,1.0,113-3,113-4,113-4,18.5963173,12.509181,
113,3,113-3,Leaf,,,,,-0.00503846444,5.90691185,
113,4,113-4,Leaf,,,,,0.0179490317,6.60226965,
114,0,114-0,iat_variance_ratio,3.713158e-05,114-1,114-2,114-2,12.4070568,30.0721493,
114,1,114-1,Leaf,,,,,-0.00557136722,17.8619556,
114,2,114-2,dt_intensity,977530388000.0,114-3,114-4,114-4,17.5115509,12.2101936,
114,3,114-3,Leaf,,,,,-0.00503177848,5.88508463,
114,4,114-4,Leaf,,,,,0.0174733773,6.325109,
115,0,115-0,protocol,1.0,115-1,115-2,115-2,8.59864712,29.7708569,
115,1,115-1,num_packets,190613.0,115-3,115-4,115-4,7.25103378,15.7202082,
115,2,115-2,Leaf,,,,,-0.00549378619,14.0506496,
115,3,115-3,total_packets,20817.0,115-5,115-6,115-6,15.2202024,11.0741081,
115,4,115-4,Leaf,,,,,-0.00485357828,4.64610004,
115,5,115-5,Leaf,,,,,-0.00480469503,4.39098787,
115,6,115-6,Leaf,,,,,0.0176566914,6.68312025,
116,0,116-0,avg_bytes,30707622.0,116-1,116-2,116-2,17.9548435,30.9603291,
116,1,116-1,total_bytes,3099454.0,116-3,116-4,116-4,16.5411625,12.0161514,
116,2,116-2,Leaf,,,,,-0.00559230801,18.9441776,
116,3,116-3,Leaf,,,,,-0.00483227847,4.59535551,
116,4,116-4,Leaf,,,,,0.0179058649,7.42079639,
117,0,117-0,mean_iat,0.000159994874,117-1,117-2,117-2,14.0290699,29.3474808,
117,1,117-1,reverse_bytes,57840.0,117-3,117-4,117-4,15.699913,11.1958427,
117,2,117-2,Leaf,,,,,-0.00557841966,18.151638,
117,3,117-3,Leaf,,,,,0.0174846444,6.32214975,
117,4,117-4,Leaf,,,,,-0.00488753337,4.87369299,
118,0,118-0,iat_variance_ratio,5.24272915e-25,118-1,118-2,118-2,12.459465,28.0185261,
118,1,118-1,byte_rate,619964.562,118-3,118-4,118-4,9.66966438,12.6252594,
118,2,118-2,Leaf,,,,,-0.00553090684,15.3932667,
118,3,118-3,Leaf,,,,,-0.00473505072,3.96490288,
118,4,118-4,num_packets,190613.0,118-5,118-6,118-6,9.37462425,8.66035652,
118,5,118-5,Leaf,,,,,0.0181733537,6.54091835,
118,6,118-6,Leaf,,,,,-0.00403062394,2.11943793,
119,0,119-0,avg_bytes,3099454.0,119-1,119-2,119-2,37.2298355,30.9015255,
119,1,119-1,Leaf,,,,,0.018095253,8.16499805,
119,2,119-2,Leaf,,,,,-0.00563682942,22.7365284,
